Transaction_ID,Items
74,"Latte,Avocado Toast,Salad,Pasta,Black Coffee"
75,"Americano,Salad,Hot Chocolate,Pasta"
76,"Pasta,Bagel,Croissant,Salad"
77,"Espresso,Latte,Tea,Donut,Black Coffee"
78,"Latte,Hot Chocolate,Muffin,Cookie,Iced Coffee,Fruit Parfait"
79,"Omelette,Croissant,Donut,Green Tea,Salad,Brownie,Black Coffee"
80,"Hot Chocolate,Croissant,Cookie,Mocha,Iced Coffee"
81,"Wrap,Cappuccino,Waffles,Donut,Tea,Black Coffee"
82,"Black Coffee,Donut,Tea"
83,"Sandwich,Salad,Latte,Pasta"
84,"Cappuccino,Americano,Waffles,Cookie,Mocha,Iced Coffee,Pasta"
85,"Latte,Granola Bowl,Avocado Toast,Cheesecake,Green Tea,Salad,Pasta"
86,"Macchiato,Tea,Donut,Salad,Pasta,Brownie,Panini"
87,"Smoothie,Croissant,Donut,Brownie,Black Coffee"
88,"Latte,Granola Bowl,Croissant,Cookie,Iced Coffee"
89,"Americano,Black Coffee,Croissant,Donut"
90,"Cappuccino,Muffin,Smoothie,Donut,Tea,Cheesecake,Black Coffee"
91,"Iced Coffee,Cookie,Tea"
92,"Latte,Omelette,Smoothie,Donut,Green Tea,Black Coffee"
93,"Black Coffee,Cookie,Donut"
94,"Omelette,Cookie,Cheesecake,Iced Coffee,Brownie,Black Coffee"
95,"Sandwich,Americano,Donut,Tea,Cheesecake,Green Tea,Black Coffee"
96,"Iced Coffee,Macchiato,Cookie,Tea"
97,"Sandwich,Americano,Croissant,Cookie,Cheesecake,Iced Coffee"
98,"Americano,Granola Bowl,Smoothie,Cookie,Mocha,Salad,Pasta"
99,"Iced Coffee,Croissant,Cookie,Latte"
100,"Wrap,Cookie,Green Tea,Iced Coffee,Salad,Pasta,Brownie,Black Coffee"
101,"Espresso,Cookie,Salad,Pasta,Brownie"
102,"Mocha,Iced Coffee,Sandwich,Cookie"
103,"Americano,Iced Coffee,Panini,Cookie"
104,"Espresso,Hot Chocolate,Croissant,Donut,Pasta,Black Coffee"
105,"Sandwich,Croissant,Donut,Avocado Toast,Panini,Black Coffee"
106,"Americano,Cookie,Bagel,Salad,Pasta"
107,"Muffin,Croissant,Cookie,Donut,Iced Coffee"
108,"Iced Coffee,Cookie,Tea"
109,"Cookie,Salad,Latte,Pasta"
110,"Croissant,Bagel,Salad,Pasta,Panini"
111,"Pasta,Salad,Tea"
112,"Espresso,Sandwich,Americano,Macchiato,Donut,Black Coffee"
113,"Black Coffee,Donut,Tea"
114,"Americano,Black Coffee,Donut"
115,"Latte,Cookie,Tea,Cheesecake,Iced Coffee,Panini"
116,"Black Coffee,Croissant,Donut"
117,"Americano,Salad,Pasta"
118,"Hot Chocolate,Americano,Bagel,Salad,Pasta"
119,"Black Coffee,Latte,Donut"
120,"Cookie,Iced Coffee,Latte"
121,"Cappuccino,Latte,Macchiato,Croissant,Donut,Mocha,Black Coffee"
122,"Espresso,Cookie,Tea,Salad,Pasta"
123,"Cappuccino,Croissant,Cheesecake,Salad,Pasta"
124,"Espresso,Americano,Waffles,Donut,Pasta,Brownie,Black Coffee"
125,"Latte,Hot Chocolate,Cookie,Cheesecake,Iced Coffee,Panini"
126,"Sandwich,Latte,Granola Bowl,Tea,Bagel,Salad,Pasta"
127,"Black Coffee,Cookie,Donut"
128,"Cookie,Bagel,Iced Coffee,Latte"
129,"Omelette,Cookie,Tea,Iced Coffee,Panini"
130,"Panini,Black Coffee,Latte,Donut"
131,"Latte,Sandwich,Smoothie,Croissant,Muffin,Cookie,Donut,Iced Coffee,Pasta"
132,"Croissant,Cookie,Avocado Toast,Iced Coffee,Brownie"
133,"Latte,Hot Chocolate,Donut,Mocha,Pasta,Black Coffee"
134,"Smoothie,Americano,Black Coffee,Donut"
135,"Wrap,Cappuccino,Cookie,Donut,Cheesecake,Black Coffee"
136,"Avocado Toast,Salad,Cookie,Pasta"
137,"Cookie,Panini,Iced Coffee,Latte"
138,"Salad,Latte,Pasta"
139,"Espresso,Wrap,Americano,Donut,Cheesecake,Black Coffee"
140,"Black Coffee,Granola Bowl,Cookie,Donut"
141,"Wrap,Croissant,Cookie,Tea,Iced Coffee,Pasta,Brownie,Black Coffee"
142,"Sandwich,Latte,Americano,Smoothie,Mocha,Iced Coffee,Salad,Pasta"
143,"Hot Chocolate,Americano,Cookie,Tea,Green Tea,Bagel,Iced Coffee"
144,"Latte,Wrap,Cookie,Cheesecake,Iced Coffee,Panini"
145,"Iced Coffee,Croissant,Cookie"
146,"Latte,Donut,Tea,Mocha,Cheesecake,Black Coffee"
147,"Chai Latte,Iced Coffee,Cookie,Tea"
148,"Chai Latte,Croissant,Donut,Tea,Black Coffee"
149,"Cookie,Iced Coffee,Latte"
150,"Cheesecake,Black Coffee,Croissant,Donut"
151,"Cappuccino,Tea,Fruit Parfait,Salad,Pasta"
152,"Latte,Omelette,Cookie,Donut,Cheesecake,Black Coffee"
153,"Americano,Iced Coffee,Cookie,Hot Chocolate"
154,"Sandwich,Americano,Waffles,Cookie,Iced Coffee"
155,"Chai Latte,Black Coffee,Latte,Donut"
156,"Latte,Omelette,Tea,Salad,Pasta"
157,"Americano,Smoothie,Granola Bowl,Donut,Black Coffee"
158,"Americano,Macchiato,Salad,Pasta,Panini"
159,"Wrap,Sandwich,Omelette,Macchiato,Donut,Tea,Black Coffee"
160,"Omelette,Cookie,Iced Coffee,Salad,Pasta,Brownie"
161,"Omelette,Americano,Avocado Toast,Salad,Pasta"
162,"Cappuccino,Americano,Macchiato,Cookie,Iced Coffee"
163,"Wrap,Latte,Granola Bowl,Cookie,Iced Coffee"
164,"Salad,Cookie,Pasta"
165,"Croissant,Cookie,Iced Coffee,Salad,Bagel,Black Coffee"
166,"Tea,Salad,Pasta,Brownie,Panini,Black Coffee"
167,"Americano,Waffles,Cookie,Iced Coffee,Pasta"
168,"Americano,Macchiato,Tea,Iced Coffee,Salad,Pasta,Brownie,Panini"
169,"Avocado Toast,Black Coffee,Cookie,Donut"
170,"Americano,Cookie,Tea,Donut,Black Coffee"
171,"Muffin,Black Coffee,Cookie,Donut"
172,"Pasta,Brownie,Croissant,Salad"
173,"Black Coffee,Donut,Tea"
174,"Chai Latte,Omelette,Donut,Tea,Black Coffee"
175,"Cheesecake,Salad,Cookie,Pasta"
176,"Omelette,Americano,Cookie,Tea,Iced Coffee"
177,"Wrap,Cookie,Bagel,Salad,Pasta"
178,"Latte,Chai Latte,Macchiato,Mocha,Salad,Pasta,Black Coffee"
179,"Bagel,Salad,Latte,Pasta"
180,"Pasta,Croissant,Salad"
181,"Latte,Tea,Cheesecake,Salad,Pasta"
182,"Hot Chocolate,Americano,Waffles,Macchiato,Donut,Salad,Black Coffee"
183,"Omelette,Iced Coffee,Cookie,Tea"
184,"Latte,Donut,Salad,Pasta,Brownie,Black Coffee"
185,"Iced Coffee,Cookie,Tea"
186,"Hot Chocolate,Chai Latte,Cookie,Mocha,Iced Coffee"
187,"Latte,Omelette,Americano,Smoothie,Croissant,Cookie,Bagel,Iced Coffee,Pasta"
188,"Espresso,Cookie,Donut,Iced Coffee,Black Coffee"
189,"Pasta,Brownie,Croissant,Salad"
190,"Sandwich,Croissant,Donut,Green Tea,Salad,Pasta"
191,"Latte,Cookie,Iced Coffee,Fruit Parfait,Salad"
192,"Black Coffee,Croissant,Donut"
193,"Sandwich,Waffles,Cookie,Donut,Bagel,Black Coffee"
194,"Muffin,Cookie,Fruit Parfait,Salad,Pasta"
195,"Pasta,Croissant,Cappuccino,Salad"
196,"Smoothie,Black Coffee,Croissant,Donut"
197,"Iced Coffee,Espresso,Cookie,Tea"
198,"Black Coffee,Latte,Donut"
199,"Cappuccino,Muffin,Cookie,Salad,Pasta"
200,"Pasta,Croissant,Salad"
201,"Hot Chocolate,Waffles,Croissant,Macchiato,Donut,Avocado Toast,Pasta,Black Coffee"
202,"Brownie,Panini,Salad,Pasta"
203,"Chai Latte,Hot Chocolate,Waffles,Donut,Cheesecake,Pasta,Black Coffee"
204,"Waffles,Avocado Toast,Bagel,Salad,Pasta,Panini"
205,"Waffles,Salad,Pasta"
206,"Americano,Granola Bowl,Croissant,Cookie,Salad,Pasta"
207,"Hot Chocolate,Waffles,Granola Bowl,Donut,Pasta,Black Coffee"
208,"Omelette,Americano,Donut,Iced Coffee,Bagel,Black Coffee"
209,"Sandwich,Wrap,Americano,Avocado Toast,Mocha,Salad,Pasta,Panini"
210,"Muffin,Smoothie,Cookie,Donut,Salad,Pasta"
211,"Black Coffee,Fruit Parfait,Cappuccino,Donut"
212,"Latte,Americano,Salad,Pasta,Panini"
213,"Omelette,Waffles,Mocha,Cheesecake,Salad,Pasta,Panini"
214,"Cappuccino,Chai Latte,Smoothie,Cookie,Tea,Iced Coffee,Bagel"
215,"Espresso,Salad,Pasta,Panini,Black Coffee"
216,"Waffles,Iced Coffee,Salad,Cookie"
217,"Bagel,Chai Latte,Black Coffee,Donut"
218,"Avocado Toast,Iced Coffee,Cookie"
219,"Omelette,Macchiato,Croissant,Donut,Bagel,Black Coffee"
220,"Waffles,Iced Coffee,Cookie"
221,"Muffin,Macchiato,Cookie,Donut,Tea,Black Coffee"
222,"Iced Coffee,Macchiato,Espresso,Cookie"
223,"Fruit Parfait,Salad,Donut,Pasta"
224,"Chai Latte,Omelette,Waffles,Donut,Black Coffee"
225,"Salad,Wrap,Pasta"
226,"Mocha,Granola Bowl,Salad,Pasta"
227,"Wrap,Cookie,Tea,Mocha,Iced Coffee"
228,"Cappuccino,Omelette,Muffin,Avocado Toast,Bagel,Salad,Pasta"
229,"Latte,Sandwich,Muffin,Cookie,Tea,Iced Coffee"
230,"Smoothie,Black Coffee,Donut"
231,"Wrap,Americano,Muffin,Donut,Fruit Parfait,Panini,Black Coffee"
232,"Muffin,Croissant,Cheesecake,Salad,Pasta"
233,"Green Tea,Black Coffee,Granola Bowl,Donut"
234,"Panini,Macchiato,Salad,Pasta"
235,"Chai Latte,Granola Bowl,Donut,Green Tea,Salad,Pasta"
236,"Cappuccino,Americano,Bagel,Salad,Pasta,Black Coffee"
237,"Macchiato,Fruit Parfait,Salad,Pasta,Black Coffee"
238,"Brownie,Iced Coffee,Cookie,Muffin"
239,"Wrap,Donut,Iced Coffee,Brownie,Black Coffee"
240,"Bagel,Black Coffee,Donut"
241,"Wrap,Waffles,Granola Bowl,Salad,Pasta"
242,"Muffin,Cookie,Green Tea,Iced Coffee,Panini"
243,"Cappuccino,Americano,Granola Bowl,Salad,Pasta"
244,"Wrap,Hot Chocolate,Granola Bowl,Cookie,Mocha,Iced Coffee"
245,"Iced Coffee,Cookie,Hot Chocolate"
246,"Salad,Sandwich,Pasta"
247,"Espresso,Donut,Avocado Toast,Cheesecake,Pasta,Black Coffee"
248,"Cheesecake,Salad,Wrap,Pasta"
249,"Hot Chocolate,Granola Bowl,Cookie,Bagel,Iced Coffee,Panini"
250,"Iced Coffee,Latte,Cookie,Tea"
251,"Wrap,Latte,Smoothie,Macchiato,Donut,Bagel,Black Coffee"
252,"Salad,Latte,Sandwich,Pasta"
253,"Green Tea,Black Coffee,Salad,Pasta"
254,"Smoothie,Black Coffee,Donut"
255,"Black Coffee,Salad,Latte,Donut"
256,"Latte,Smoothie,Macchiato,Croissant,Cookie,Mocha,Iced Coffee,Brownie"
257,"Muffin,Green Tea,Black Coffee,Donut"
258,"Cappuccino,Waffles,Smoothie,Avocado Toast,Salad,Pasta,Brownie"
259,"Macchiato,Cookie,Donut,Tea,Iced Coffee,Pasta"
260,"Latte,Americano,Avocado Toast,Salad,Pasta"
261,"Brownie,Muffin,Salad,Pasta"
262,"Cappuccino,Macchiato,Avocado Toast,Salad,Pasta,Brownie"
263,"Croissant,Macchiato,Donut,Cheesecake,Black Coffee"
264,"Black Coffee,Croissant,Iced Coffee,Donut"
265,"Cappuccino,Latte,Cookie,Iced Coffee,Brownie,Black Coffee"
266,"Black Coffee,Sandwich,Donut"
267,"Sandwich,Macchiato,Cheesecake,Bagel,Salad,Pasta,Brownie,Black Coffee"
268,"Cheesecake,Iced Coffee,Salad,Pasta"
269,"Espresso,Sandwich,Waffles,Salad,Pasta"
270,"Cappuccino,Bagel,Salad,Pasta,Panini"
271,"Wrap,Waffles,Granola Bowl,Donut,Tea,Bagel,Iced Coffee,Black Coffee"
272,"Salad,Espresso,Hot Chocolate,Pasta"
273,"Smoothie,Salad,Pasta"
274,"Latte,Omelette,Donut,Mocha,Iced Coffee,Brownie,Black Coffee"
275,"Waffles,Iced Coffee,Cookie"
276,"Cappuccino,Muffin,Green Tea,Salad,Pasta"
277,"Latte,Omelette,Americano,Cookie,Donut,Bagel,Black Coffee"
278,"Sandwich,Donut,Salad,Pasta,Brownie"
279,"Wrap,Macchiato,Cookie,Green Tea,Iced Coffee"
280,"Wrap,Iced Coffee,Cookie"
281,"Cookie,Donut,Avocado Toast,Bagel,Black Coffee"
282,"Green Tea,Salad,Macchiato,Pasta"
283,"Chai Latte,Salad,Pasta,Panini,Black Coffee"
284,"Wrap,Hot Chocolate,Cookie,Cheesecake,Iced Coffee,Salad"
285,"Pasta,Black Coffee,Fruit Parfait,Donut"
286,"Cookie,Cheesecake,Iced Coffee,Salad,Pasta,Panini"
287,"Green Tea,Black Coffee,Macchiato,Donut"
288,"Omelette,Granola Bowl,Muffin,Cookie,Iced Coffee"
289,"Waffles,Donut,Fruit Parfait,Brownie,Black Coffee"
290,"Cappuccino,Smoothie,Cookie,Donut,Tea,Bagel,Salad,Black Coffee"
291,"Bagel,Black Coffee,Sandwich,Donut"
292,"Avocado Toast,Chai Latte,Salad,Pasta"
293,"Avocado Toast,Iced Coffee,Cookie,Tea"
294,"Sandwich,Muffin,Granola Bowl,Salad,Pasta"
295,"Cappuccino,Smoothie,Cookie,Avocado Toast,Green Tea,Iced Coffee,Salad"
296,"Americano,Green Tea,Iced Coffee,Salad,Pasta"
297,"Cookie,Mocha,Iced Coffee,Fruit Parfait,Brownie"
298,"Chai Latte,Americano,Smoothie,Croissant,Cookie,Iced Coffee"
299,"Iced Coffee,Granola Bowl,Cookie"
300,"Hot Chocolate,Cheesecake,Salad,Pasta,Panini"
301,"Hot Chocolate,Omelette,Bagel,Salad,Pasta"
302,"Muffin,Cookie,Donut,Pasta,Black Coffee"
303,"Sandwich,Chai Latte,Donut,Bagel,Fruit Parfait,Pasta,Panini,Black Coffee"
304,"Black Coffee,Granola Bowl,Sandwich,Donut"
305,"Cheesecake,Salad,Hot Chocolate,Pasta"
306,"Cappuccino,Latte,Cookie,Cheesecake,Iced Coffee,Bagel"
307,"Hot Chocolate,Waffles,Cookie,Iced Coffee,Black Coffee"
308,"Cappuccino,Hot Chocolate,Americano,Donut,Iced Coffee,Black Coffee"
309,"Iced Coffee,Latte,Cookie"
310,"Panini,Black Coffee,Granola Bowl,Donut"
311,"Cappuccino,Latte,Tea,Donut,Black Coffee"
312,"Waffles,Cookie,Bagel,Iced Coffee,Brownie"
313,"Wrap,Americano,Macchiato,Tea,Green Tea,Salad,Pasta"
314,"Cappuccino,Green Tea,Bagel,Salad,Pasta"
315,"Sandwich,Tea,Donut,Iced Coffee,Salad,Panini,Black Coffee"
316,"Cappuccino,Chai Latte,Muffin,Granola Bowl,Macchiato,Salad,Pasta,Panini"
317,"Espresso,Wrap,Donut,Tea,Mocha,Iced Coffee,Pasta,Black Coffee"
318,"Latte,Macchiato,Cookie,Green Tea,Salad,Pasta"
319,"Iced Coffee,Sandwich,Cookie,Hot Chocolate"
320,"Sandwich,Chai Latte,Wrap,Cookie,Mocha,Iced Coffee"
321,"Bagel,Salad,Pasta"
322,"Latte,Waffles,Croissant,Tea,Donut,Fruit Parfait,Black Coffee"
323,"Latte,Americano,Waffles,Iced Coffee,Salad,Pasta"
324,"Espresso,Latte,Americano,Donut,Mocha,Salad,Pasta"
325,"Croissant,Panini,Salad,Pasta"
326,"Pasta,Black Coffee,Donut"
327,"Omelette,Croissant,Tea,Salad,Pasta"
328,"Omelette,Donut,Mocha,Iced Coffee,Panini,Black Coffee"
329,"Muffin,Macchiato,Cookie,Mocha,Iced Coffee"
330,"Wrap,Cappuccino,Americano,Cookie,Iced Coffee"
331,"Wrap,Iced Coffee,Cookie"
332,"Smoothie,Cookie,Mocha,Salad,Pasta"
333,"Tea,Salad,Pasta"
334,"Brownie,Waffles,Salad,Pasta"
335,"Chai Latte,Americano,Granola Bowl,Muffin,Avocado Toast,Mocha,Salad,Pasta"
336,"Wrap,Donut,Fruit Parfait,Salad,Pasta"
337,"Chai Latte,Tea,Donut,Iced Coffee,Black Coffee"
338,"Wrap,Sandwich,Americano,Waffles,Donut,Fruit Parfait,Black Coffee"
339,"Sandwich,Muffin,Macchiato,Donut,Fruit Parfait,Black Coffee"
340,"Latte,Cookie,Donut,Bagel,Iced Coffee"
341,"Wrap,Sandwich,Muffin,Cheesecake,Salad,Pasta"
342,"Cappuccino,Chai Latte,Cookie,Iced Coffee,Pasta"
343,"Espresso,Americano,Cookie,Cheesecake,Iced Coffee"
344,"Omelette,Pasta,Black Coffee,Donut"
345,"Latte,Americano,Granola Bowl,Donut,Green Tea,Iced Coffee,Black Coffee"
346,"Avocado Toast,Salad,Pasta"
347,"Chai Latte,Waffles,Muffin,Donut,Mocha,Green Tea,Salad,Pasta"
348,"Muffin,Green Tea,Black Coffee,Donut"
349,"Espresso,Wrap,Donut,Salad,Black Coffee"
350,"Brownie,Black Coffee,Donut"
351,"Mocha,Salad,Cappuccino,Pasta"
352,"Espresso,Sandwich,Smoothie,Cookie,Tea,Avocado Toast,Green Tea,Iced Coffee"
353,"Black Coffee,Tea,Sandwich,Donut"
354,"Pasta,Brownie,Black Coffee,Donut"
355,"Smoothie,Cookie,Green Tea,Mocha,Fruit Parfait,Salad,Pasta"
356,"Hot Chocolate,Cookie,Fruit Parfait,Salad,Pasta"
357,"Granola Bowl,Macchiato,Smoothie,Cookie,Cheesecake,Iced Coffee,Fruit Parfait,Bagel"
358,"Sandwich,Chai Latte,Macchiato,Donut,Avocado Toast,Tea,Brownie,Black Coffee"
359,"Wrap,Cappuccino,Chai Latte,Macchiato,Cookie,Iced Coffee"
360,"Americano,Iced Coffee,Cookie"
361,"Latte,Chai Latte,Granola Bowl,Donut,Black Coffee"
362,"Hot Chocolate,Granola Bowl,Donut,Bagel,Black Coffee"
363,"Black Coffee,Fruit Parfait,Donut"
364,"Panini,Iced Coffee,Fruit Parfait,Cookie"
365,"Espresso,Wrap,Salad,Pasta,Black Coffee"
366,"Muffin,Macchiato,Donut,Panini,Black Coffee"
367,"Hot Chocolate,Granola Bowl,Croissant,Cookie,Salad,Pasta,Black Coffee"
368,"Muffin,Granola Bowl,Cookie,Iced Coffee,Fruit Parfait,Brownie,Black Coffee"
369,"Iced Coffee,Granola Bowl,Cookie"
370,"Americano,Cookie,Tea,Avocado Toast,Bagel,Iced Coffee"
371,"Omelette,Waffles,Cookie,Tea,Salad,Fruit Parfait,Pasta"
372,"Chai Latte,Americano,Granola Bowl,Donut,Black Coffee"
373,"Omelette,Black Coffee,Donut"
374,"Sandwich,Muffin,Waffles,Donut,Black Coffee"
375,"Cappuccino,Chai Latte,Donut,Fruit Parfait,Panini,Black Coffee"
376,"Black Coffee,Iced Coffee,Macchiato,Cookie"
377,"Hot Chocolate,Muffin,Cookie,Iced Coffee,Fruit Parfait"
378,"Avocado Toast,Cheesecake,Salad,Pasta,Panini"
379,"Sandwich,Waffles,Cookie,Iced Coffee,Pasta,Panini"
380,"Hot Chocolate,Waffles,Fruit Parfait,Salad,Pasta,Brownie"
381,"Black Coffee,Cappuccino,Donut"
382,"Fruit Parfait,Salad,Hot Chocolate,Pasta"
383,"Chai Latte,Americano,Tea,Bagel,Iced Coffee,Salad,Pasta"
384,"Sandwich,Latte,Tea,Donut,Panini,Black Coffee"
385,"Bagel,Iced Coffee,Latte,Cookie"
386,"Brownie,Black Coffee,Latte,Donut"
387,"Muffin,Cookie,Mocha,Green Tea,Iced Coffee"
388,"Americano,Salad,Espresso,Pasta"
389,"Sandwich,Cappuccino,Omelette,Croissant,Donut,Tea,Black Coffee"
390,"Iced Coffee,Fruit Parfait,Cookie"
391,"Americano,Black Coffee,Granola Bowl,Donut"
392,"Sandwich,Donut,Iced Coffee,Salad,Pasta,Black Coffee"
393,"Croissant,Cookie,Iced Coffee,Salad,Pasta"
394,"Mocha,Iced Coffee,Cookie,Muffin"
395,"Latte,Muffin,Donut,Cheesecake,Bagel,Mocha,Black Coffee"
396,"Cappuccino,Tea,Cheesecake,Salad,Pasta"
397,"Smoothie,Waffles,Cookie,Iced Coffee,Salad"
398,"Espresso,Hot Chocolate,Americano,Cookie,Tea,Iced Coffee"
399,"Espresso,Cappuccino,Salad,Pasta,Brownie"
400,"Cappuccino,Omelette,Americano,Cookie,Cheesecake,Iced Coffee,Salad"
401,"Sandwich,Americano,Granola Bowl,Macchiato,Cookie,Mocha,Iced Coffee,Salad"
402,"Chai Latte,Muffin,Cookie,Cheesecake,Salad,Pasta"
403,"Hot Chocolate,Americano,Donut,Green Tea,Iced Coffee,Mocha,Black Coffee"
404,"Bagel,Salad,Granola Bowl,Pasta"
405,"Latte,Cookie,Cheesecake,Iced Coffee,Black Coffee"
406,"Macchiato,Iced Coffee,Salad,Pasta,Brownie"
407,"Mocha,Cappuccino,Iced Coffee,Cookie"
408,"Espresso,Cappuccino,Muffin,Mocha,Salad,Pasta"
409,"Black Coffee,Latte,Donut"
410,"Americano,Mocha,Iced Coffee,Cookie"
411,"Granola Bowl,Salad,Pasta"
412,"Iced Coffee,Salad,Hot Chocolate,Pasta"
413,"Iced Coffee,Latte,Cookie,Pasta"
414,"Granola Bowl,Iced Coffee,Espresso,Cookie"
415,"Espresso,Sandwich,Smoothie,Waffles,Salad,Pasta,Panini"
416,"Black Coffee,Salad,Espresso,Pasta"
417,"Waffles,Muffin,Salad,Pasta"
418,"Brownie,Black Coffee,Fruit Parfait,Donut"
419,"Sandwich,Macchiato,Cookie,Iced Coffee,Brownie"
420,"Smoothie,Cookie,Tea,Cheesecake,Iced Coffee,Mocha,Pasta"
421,"Wrap,Donut,Avocado Toast,Bagel,Black Coffee"
422,"Chai Latte,Granola Bowl,Bagel,Salad,Pasta,Panini"
423,"Chai Latte,Cheesecake,Black Coffee,Donut"
424,"Cookie,Tea,Donut,Green Tea,Black Coffee"
425,"Iced Coffee,Latte,Cookie"
426,"Cappuccino,Cookie,Tea,Green Tea,Iced Coffee,Panini"
427,"Cappuccino,Omelette,Macchiato,Cookie,Avocado Toast,Salad,Pasta,Brownie"
428,"Smoothie,Donut,Cheesecake,Salad,Pasta,Black Coffee"
429,"Iced Coffee,Cookie,Muffin"
430,"Waffles,Black Coffee,Wrap,Donut"
431,"Wrap,Iced Coffee,Cookie"
432,"Wrap,Croissant,Cookie,Mocha,Salad,Pasta"
433,"Iced Coffee,Cookie,Hot Chocolate"
434,"Wrap,Hot Chocolate,Croissant,Cookie,Green Tea,Salad,Pasta"
435,"Cappuccino,Latte,Cookie,Avocado Toast,Iced Coffee,Panini"
436,"Cappuccino,Cookie,Iced Coffee,Fruit Parfait,Panini"
437,"Chai Latte,Cookie,Tea,Iced Coffee,Fruit Parfait"
438,"Croissant,Cookie,Tea,Cheesecake,Iced Coffee"
